Username,Top skill,Gaji/jam,Profil
DimasNanda14                    ,"Bookkeeping, Business Analysis, Content Writing, Copywriting, Customer Support",$3 USD per hour,"I may newbie on this platform, but I bring over 3 years of experience in Analyze data with a passion for helping clients achieve their project goals."
melia60                    ,"Customer Service, Customer Support, Data Entry, Data Processing, Excel",$5 USD per hour,"I am bachelor of education with experiance in administration, and admin business. I have interest in administration, attention in detail  has becomes my forte, i'm an inquisitive personn that enjoy learning new things, i'm Detail oriented, well organized, empatik, adaptif"
dedycatedinc                    ,"C# Programming, HTML, Microsoft SQL Server, ASP.NET, JavaScript",$15 USD per hour,We have successfully delivered many projects in many different companies and clients. We have strong Programming and Management skills and always update our team with Research and Development of new technologies to strengthen my knowledge and skills.  Provides custom software development within the following areas of...
jonisetiadii3                    ,"Graphic Design, Logo Design, Photoshop, Photoshop Design, 3D Design",$5 USD per hour,"For prospective clients, I apologize in advance, I am still new to the world of freelancing, but I have been offline for almost 8 years doing all the needs of the world of printing, editing files, inputting data, screen printing t-shirts, making logos, and other related things, I really hope for the work offered by..."
pranoto290301                    ,"Data Analytics, Data Entry, Data Processing, Data Scraping, Database Administration",$5 USD per hour,"saya memiliki kecenderungan yang kuat terhadap ketelitian dan keakuratan dalam pekerjaan saya. Saya memiliki kemampuan yang baik dalam mengelola waktu dan tugas dengan efisien, serta mampu bekerja secara mandiri maupun dalam tim. Saya sangat terampil dalam menggunakan perangkat lunak dan memiliki pemahaman yang baik..."
ayu818                    ,"Article Rewriting, Bookkeeping, Customer Service, Customer Support, Data Entry",$5 USD per hour,"I have 12 years of experience working with various types of data, possessing data processing skills and customer support services. I have skills in various data processing tools that allow me to provide the best results for clients.  For the past 8 years, I have been working in the field of Human Resources, I am..."
prayogo803                    ,"Trading, Node.js, JavaScript, Vue.js, Amazon Web Services",$30 USD per hour,"1. Frontend Development: Highly skilled in React.js, Vue.js, Quasar, Material UI, Tailwind CSS, Bootstrap, and responsive design. Experienced with mobile app development frameworks such as React Native and Flutter for trading analysis apps. 2. Backend Development: Deep knowledge of Node.js and Express.js for..."
aasuryanegara7                    ,"Data Entry, Word, Indonesian Translator, Translation, Data Analytics",$50 USD per hour,"https://sdkreatif.biz.id  Profile Overview:  I am a versatile and highly skilled professional with a passion for creating exceptional websites. With a background in both web development and web design, I possess the technical expertise and creative flair needed to bring your digital projects to life. With more than 8..."
widyawulda                    ,"Book Writing, Content Writing, Creative Writing, Customer Service, Customer Support",$5 USD per hour,"I have been writing since 2012. I have 5 poetry anthologies with fellow writers. I'm also an experience as Admin General Officer, Tool and Cost Control for over 4 years. And now i'm working as Export-Import Specialist."
ardiyanto1                    ,"Background Removal, Copy Typing, Copywriting, Data Entry, Data Processing",$10 USD per hour,"Welcome to Ardiyanto Profil.  I am a diligent worker capable of adhering to set schedules. I possess a variety of skills that make me suitable for assisting you with tasks involving Excel, Word, PDF, data typing projects, Adobe Illustrator, and Adobe Photoshop. Additionally, I have around a decade of..."
